row_id,coder,paper_title,paper_id,dependent_variable_main_theme,coded_dependent_variable,depedendent_variable,dependent_variable_measurement,dependent_variable_measurement_technique,independent_variable_main_theme,independent_variable_sub_theme,independent_variable,independent_variable_measurement,independent_variable_measurement_technique,effect_direction,effect_direction_full_context,significant,alpha_value,effect_size,effect_size_metric,effect_size_full_context,confidence_interval,sample_size,independent_variable_measurement_others,sample_size_full _context
r123,Sercan,Understanding the user experience of customer service chatbots: An experimental study of chatbot interaction design,A10,Theme 1: User Experience and Satisfaction,Quality,Pragmatic Quality,MULTI,survey,CONTEXT,CONTEXT,Interaction Mechanism (Free Text vs Button),SINGLE,Other,POSITIVE,,YES,0.05,0.37,COHEN'S D,,YES,35,IV was bivalent (not measured but manipulated),
r124,Sercan,Understanding the user experience of customer service chatbots: An experimental study of chatbot interaction design,A10,Theme 1: User Experience and Satisfaction,Quality,Pragmatic Quality,MULTI,survey,CONTEXT,CONTEXT,Conversation Type (Topic-led vs Task-led),SINGLE,Other,POSITIVE,,YES,0.05,0.36,COHEN'S D,,YES,35,IV was bivalent (not measured but manipulated),
r125,Sercan,Understanding the user experience of customer service chatbots: An experimental study of chatbot interaction design,A10,Theme 1: User Experience and Satisfaction,Quality,Hedonic Quality,MULTI,survey,CONTEXT,CONTEXT,Interaction Mechanism (Free Text vs Button),SINGLE,Other,POSITIVE,,YES,0.05,0.39,COHEN'S D,,YES,35,IV was bivalent (not measured but manipulated),
r126,Sercan,Understanding the user experience of customer service chatbots: An experimental study of chatbot interaction design,A10,Theme 1: User Experience and Satisfaction,Quality,Hedonic Quality,MULTI,survey,CONTEXT,CONTEXT,Conversation Type (Topic-led vs Task-led),SINGLE,Other,POSITIVE,,YES,0.01,0.52,COHEN'S D,,YES,35,IV was bivalent (not measured but manipulated),
r127,Sercan,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,USER_MODERATOR,USER_MODERATOR,Conversational User Interface (Baseline vs Speech-based vs Hybrid),SINGLE,Other,POSITIVE,,YES,0.05,NA,NA,,YES,18,IV was categorical (not measured but manipulated),
r128,Sercan,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 1: User Experience and Satisfaction,Perceived Ease of Use,Perceived Ease of Use,MULTI,survey,USER_MODERATOR,USER_MODERATOR,Conversational User Interface (Baseline vs Speech-based vs Hybrid),SINGLE,Other,NO EFFECT,,NO,0.05,NA,NA,,YES,18,IV was categorical (not measured but manipulated),
r129,Sercan,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 1: User Experience and Satisfaction,Attractiveness,Attractiveness,MULTI,survey,USER_MODERATOR,USER_MODERATOR,Conversational User Interface (Baseline vs Speech-based vs Hybrid),SINGLE,Other,NO EFFECT,,NO,0.05,NA,NA,,YES,18,IV was categorical (not measured but manipulated),
r130,Sercan,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,A15,Theme 6: Technology Acceptance and Adoption Intentions,Intention to Use,Intention to Use,MULTI,survey,USER_MODERATOR,USER_MODERATOR,Conversational User Interface (Baseline vs Speech-based vs Hybrid),SINGLE,Other,NO EFFECT,,NO,0.05,NA,NA,,YES,18,IV was categorical (not measured but manipulated),
r131,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Consistency,Ipsative Stability,MULTI,survey,CONTEXT,CONTEXT,Model Family,SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was categorical (not measured but manipulated),
r132,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Consistency,Ipsative Stability,MULTI,survey,CONTEXT,CONTEXT,Fine-tuning Status,SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was categorical (not measured but manipulated),
r133,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Consistency,Ipsative Stability,MULTI,survey,CONTEXT,CONTEXT,Quantization Level,SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was categorical (not measured but manipulated),
r134,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Consistency,Ipsative Stability,MULTI,survey,CONTEXT,CONTEXT,Persona Instruction (Fictional vs Real),SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was bivalent (not measured but manipulated),
r135,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Rank-order Stability,Rank-order Stability,MULTI,survey,CONTEXT,CONTEXT,Model Family,SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was categorical (not measured but manipulated),
r136,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Rank-order Stability,Rank-order Stability,MULTI,survey,CONTEXT,CONTEXT,Fine-tuning Status,SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was categorical (not measured but manipulated),
r137,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Rank-order Stability,Rank-order Stability,MULTI,survey,CONTEXT,CONTEXT,Quantization Level,SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was categorical (not measured but manipulated),
r138,Sercan,Stick to your role! Stability of personal values expressed in large language models,A23,Theme 2: Trust and Credibility,Rank-order Stability,Rank-order Stability,MULTI,survey,CONTEXT,CONTEXT,Persona Instruction (Fictional vs Real),SINGLE,Other,NA,,NA,NA,NA,NA,,NO,NA,IV was bivalent (not measured but manipulated),
r139,Sercan,Psychological reactance in HCI - A method towards improving acceptance of devices and services,A27,Theme 5: Behavioral and Interaction Patterns,Psychological Reactance,Psychological Reactance,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,System Adaptation (Self-adaptive vs User-adaptable),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,43,IV was bivalent (not measured but manipulated),
r140,Sercan,Psychological reactance in HCI - A method towards improving acceptance of devices and services,A27,Theme 5: Behavioral and Interaction Patterns,Counterarguance,Counterarguance,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,System Adaptation (Self-adaptive vs User-adaptable),SINGLE,Other,POSITIVE,,YES,0.05,NA,NA,,NO,43,IV was bivalent (not measured but manipulated),
r141,Sercan,Psychological reactance in HCI - A method towards improving acceptance of devices and services,A27,Theme 5: Behavioral and Interaction Patterns,Anger,Anger,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,System Adaptation (Self-adaptive vs User-adaptable),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,43,IV was bivalent (not measured but manipulated),
r142,Sercan,Impact of chatbot in transforming the face of retailing-an empirical model of antecedents and outcomes,A46,Theme 1: User Experience and Satisfaction,Customer Satisfaction,Customer Satisfaction,MULTI,survey,BEHAVIORAL,Personality_Traits,Usefulness,MULTI,Survey,POSITIVE,,YES,0.05,NA,NA,,NO,111,,
r143,Sercan,Impact of chatbot in transforming the face of retailing-an empirical model of antecedents and outcomes,A46,Theme 1: User Experience and Satisfaction,Customer Satisfaction,Customer Satisfaction,MULTI,survey,BEHAVIORAL,Personality_Traits,Readiness to Use,MULTI,Survey,POSITIVE,,NO,NA,NA,NA,,NO,111,,
r144,Sercan,Impact of chatbot in transforming the face of retailing-an empirical model of antecedents and outcomes,A46,Theme 1: User Experience and Satisfaction,Customer Satisfaction,Customer Satisfaction,MULTI,survey,BEHAVIORAL,Personality_Traits,Accesibility,MULTI,Survey,POSITIVE,,NO,NA,NA,NA,,NO,111,,
r145,Sercan,Impact of chatbot in transforming the face of retailing-an empirical model of antecedents and outcomes,A46,Theme 1: User Experience and Satisfaction,Customer Satisfaction,Customer Satisfaction,MULTI,survey,BEHAVIORAL,Personality_Traits,Trust,MULTI,Survey,POSITIVE,,NO,NA,NA,NA,,NO,111,,
r146,Sercan,Impact of chatbot in transforming the face of retailing-an empirical model of antecedents and outcomes,A46,Theme 1: User Experience and Satisfaction,Customer Satisfaction,Customer Satisfaction,MULTI,survey,BEHAVIORAL,Personality_Traits,Satisfaction,MULTI,Survey,POSITIVE,,NO,NA,NA,NA,,NO,111,,
r147,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 5: Behavioral and Interaction Patterns,Adaptability,Consensus Shift,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,POSITIVE,,YES,0.05,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r148,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 7: Individual Differences as Moderators,Adaptability,Individual Shift,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,POSITIVE,,YES,0.05,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r149,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 1: User Experience and Satisfaction,Usefulness,Usefulness,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,NEGATIVE,,YES,0.05,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r150,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 4: Social Perception and Anthropomorphism,Preference,Preference,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r151,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 4: Social Perception and Anthropomorphism,Human-like,Human-like,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r152,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r153,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 4: Social Perception and Anthropomorphism,Intelligence,Intelligence,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r154,Sercan,Extrovert Increases Consensus? Exploring the Effects of Conversational Agent Personality for Group Decision Support,A55,Theme 3: Learning and Performance Outcomes,Knowledge,Knowledge,MULTI,survey,BEHAVIORAL,Personality_Traits,Agent Type (Introvert vs Extrovert),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,40,IV was bivalent (not measured but manipulated),
r155,Sercan,Exploring the Effects of Interactive Dialogue in Improving User Control for Explainable Online Symptom Checkers,A59,Theme 4: Social Perception and Anthropomorphism,Transparency,Transparency,MULTI,survey,BEHAVIORAL,Communication_Style,Explanation Style (Interactive vs Static vs No Explanation),SINGLE,Other,NEGATIVE,,YES,0.001,0.28,ETA-SQUARED,,NO,152,IV was categorical (not measured but manipulated),
r156,Sercan,Exploring the Effects of Interactive Dialogue in Improving User Control for Explainable Online Symptom Checkers,A59,Theme 4: Social Perception and Anthropomorphism,Informativeness,Informativeness,MULTI,survey,BEHAVIORAL,Communication_Style,Explanation Style (Interactive vs Static vs No Explanation),SINGLE,Other,NEGATIVE,,YES,0.05,0.04,ETA-SQUARED,,NO,152,IV was categorical (not measured but manipulated),
r157,Sercan,Exploring the Effects of Interactive Dialogue in Improving User Control for Explainable Online Symptom Checkers,A59,Theme 2: Trust and Credibility,Trust,Trust,MULTI,survey,BEHAVIORAL,Communication_Style,Explanation Style (Interactive vs Static vs No Explanation),SINGLE,Other,NEGATIVE,,YES,0.05,0.03,ETA-SQUARED,,NO,152,IV was categorical (not measured but manipulated),
r158,Sercan,Exploring the Effects of Interactive Dialogue in Improving User Control for Explainable Online Symptom Checkers,A59,Theme 3: Learning and Performance Outcomes,Understanding,Understanding,MULTI,survey,BEHAVIORAL,Communication_Style,Explanation Style (Interactive vs Static vs No Explanation),SINGLE,Other,NEGATIVE,,NO,0.05,0.23,ETA-SQUARED,,NO,152,IV was categorical (not measured but manipulated),
r159,Sercan,Exploring the Effects of Interactive Dialogue in Improving User Control for Explainable Online Symptom Checkers,A59,Theme 4: Social Perception and Anthropomorphism,Need for Cognition,Need for Cognition,MULTI,survey,BEHAVIORAL,Communication_Style,Explanation Style (Interactive vs Static vs No Explanation),SINGLE,Other,NO EFFECT,,NO,0.05,NA,NA,,NO,152,IV was categorical (not measured but manipulated),
r160,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 3: Learning and Performance Outcomes,Understanding,Understanding,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r161,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 3: Learning and Performance Outcomes,Understanding,Understanding,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r162,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 3: Learning and Performance Outcomes,Understanding,Understanding,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r163,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Appropriatness,Appropriatness,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r164,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Appropriatness,Appropriatness,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r165,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Appropriatness,Appropriatness,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r166,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 1: User Experience and Satisfaction,Helpfulness,Helpfulness,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r167,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 1: User Experience and Satisfaction,Helpfulness,Helpfulness,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r168,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 1: User Experience and Satisfaction,Helpfulness,Helpfulness,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r169,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 3: Learning and Performance Outcomes,Relevance,Relevance,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r170,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 3: Learning and Performance Outcomes,Relevance,Relevance,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r171,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 3: Learning and Performance Outcomes,Relevance,Relevance,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r172,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Smoothness,Smoothness,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r173,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Smoothness,Smoothness,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r174,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Smoothness,Smoothness,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r175,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Professionalizm,Professionalizm,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r176,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Professionalizm,Professionalizm,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r177,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Professionalizm,Professionalizm,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r178,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Personalization,Personalization,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r179,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Personalization,Personalization,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r180,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 4: Social Perception and Anthropomorphism,Personalization,Personalization,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r181,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 5: Behavioral and Interaction Patterns,Pace and Flow,Pace and Flow,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r182,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 5: Behavioral and Interaction Patterns,Pace and Flow,Pace and Flow,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r183,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 5: Behavioral and Interaction Patterns,Pace and Flow,Pace and Flow,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r184,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 1: User Experience and Satisfaction,Overall Satisfaction,Overall Satisfaction,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r185,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 1: User Experience and Satisfaction,Overall Satisfaction,Overall Satisfaction,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r186,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 1: User Experience and Satisfaction,Overall Satisfaction,Overall Satisfaction,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r187,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 5: Behavioral and Interaction Patterns,Performance,ChatBot vs Counselor,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r188,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 5: Behavioral and Interaction Patterns,Performance,ChatBot vs Counselor,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r189,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 5: Behavioral and Interaction Patterns,Performance,ChatBot vs Counselor,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,N/A,NA,NA,,NO,20,,
r190,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 2: Trust and Credibility,Reusability,Possibility of Re-use,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r191,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 2: Trust and Credibility,Resuasbility,Possibility of Re-use,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r192,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 2: Trust and Credibility,Reusability,Possibility of Re-use,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r193,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 6: Technology Acceptance and Adoption Intentions,Willingness to Recommend,Willingness to Recommend,MULTI,survey,REPRESENTATIONAL,Demographics,Age,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r194,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 6: Technology Acceptance and Adoption Intentions,Willingness to Recommend,Willingness to Recommend,MULTI,survey,REPRESENTATIONAL,Demographics,Gender,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r195,Sercan,Evaluating the Feasibility and Acceptability of a GPT-Based Chatbot for Depression Screening: A Mixed-Methods Study,A64,Theme 6: Technology Acceptance and Adoption Intentions,Willingness to Recommend,Willingness to Recommend,MULTI,survey,REPRESENTATIONAL,Demographics,Counseling Experience,SINGLE,Observation,NO EFFECT,,NO,0.05,NA,NA,,NO,20,,
r196,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 4: Social Perception and Anthropomorphism,Stress Management,Stress Management,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
r197,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 4: Social Perception and Anthropomorphism,Social Support,Social Support,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,NO EFFECT,,NO,0.05,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
r198,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 1: User Experience and Satisfaction,Personality,Interesting Persona,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
r199,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 4: Social Perception and Anthropomorphism,Relationship,Relationship,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,NO EFFECT,,NO,NA,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
r200,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 1: User Experience and Satisfaction,Proactiveness,Proactive Message Satisfaction,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,POSITIVE,,YES,0.05,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
r201,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 1: User Experience and Satisfaction,Engagement,Engagement,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,POSITIVE,,YES,0.001,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
r202,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 4: Social Perception and Anthropomorphism,Trust,Sharing Concerns,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,POSITIVE,,YES,0.001,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
r203,Sercan,ComPeer: A Generative Conversational Agent for Proactive Peer Support,A74,Theme 4: Social Perception and Anthropomorphism,Trust,Sharing Thoughts,MULTI,survey,REPRESENTATIONAL,Demographics,ChatBot use (Baseline Agent vs ComPeer),SINGLE,Other,POSITIVE,,YES,0.001,NA,NA,,NO,24,IV was bivalent (not measured but manipulated),
